time,ax,ay,az,atotal
5.668867826461792,-0.94,-3.49,-5.24,6.36
5.6835410594940186,-0.31,-4.01,-4.37,5.93
5.685235023498535,0.25,-5.13,-3.04,5.96
5.775367021560669,0.21,-5.95,-0.23,5.95
5.7767369747161865,-0.23,-5.36,1.01,5.45
5.787237882614136,-0.49,-5.36,1.43,5.56
5.789095163345337,-0.38,-5.49,1.4,5.67
5.80062198638916,-0.19,-5.09,1.35,5.26
5.8021838665008545,0.23,-4.86,2.09,5.29
5.816992998123169,1.3,-4.51,3.58,5.9
5.818833112716675,2.6,-4.17,4.5,6.66
5.8335230350494385,4.03,-3.91,4.31,7.07
5.835192918777466,5.39,-3.45,4.18,7.64
5.928447008132935,6.68,-2.84,4.1,8.33
5.929970979690552,7.5,-1.71,4.12,8.72
5.937270879745483,7.42,-0.39,4.12,8.49
5.938902139663696,6.23,0.91,3.75,7.32
5.950690031051636,4.01,1.72,3.02,5.3
5.952818155288696,2.49,2.56,2.41,4.3
5.967172861099243,2.12,3.8,2.42,4.97
5.969158887863159,1.34,4.48,1.75,4.99
5.983696937561035,0.17,6.03,2.0,6.35
5.985754013061523,-0.24,6.78,1.92,7.05
6.080899953842163,-0.59,7.36,1.62,7.55
6.082731008529663,-0.86,7.77,1.26,7.91
6.0842859745025635,-1.11,7.9,1.02,8.04
6.100785970687866,-1.23,7.75,0.9,7.89
6.102648019790649,-1.27,7.38,0.71,7.52
6.117274045944214,-1.18,6.99,0.09,7.08
6.119580030441284,-1.26,6.41,-0.29,6.53
6.133710145950317,-1.41,5.7,-0.56,5.89
6.135370969772339,-1.63,4.85,-0.89,5.19
6.1503918170928955,-1.86,4.08,-1.28,4.66
6.242521047592163,-2.03,3.39,-1.56,4.24
6.2440619468688965,-2.31,2.63,-1.84,3.95
6.254049062728882,-2.6,1.72,-2.75,4.15
6.256037950515747,-2.83,0.73,-3.72,4.73
6.267944097518921,-2.81,-0.48,-4.94,5.7
6.270498991012573,-2.41,-1.66,-6.27,6.91
6.283644914627075,-1.78,-2.57,-6.57,7.27
6.285223007202148,-1.5,-3.55,-5.59,6.78
6.300668954849243,-1.61,-4.26,-4.2,6.19
6.30280613899231,-1.92,-4.4,-3.45,5.91
6.397593975067139,-2.25,-4.1,-4.78,6.68
6.399731874465942,-1.23,-4.06,-6.28,7.57
6.401298999786377,0.89,-4.6,-7.4,8.75
6.417351007461548,1.57,-4.55,-6.94,8.44
6.419518947601318,0.82,-5.62,-2.44,6.18
6.4336700439453125,0.44,-5.84,-0.5,5.87
6.435429811477661,0.51,-6.38,1.16,6.5
6.450150966644287,0.8,-6.28,2.34,6.74
6.451985120773315,0.87,-5.88,1.99,6.26
6.466883897781372,1.44,-5.46,2.05,6.0
6.557796955108643,2.5,-5.63,2.87,6.79
6.559566020965576,3.46,-5.31,4.17,7.58
6.570662975311279,4.31,-4.7,5.03,8.12
6.5724780559539795,4.53,-4.04,5.35,8.09
