time,ax,ay,az,atotal,wx,wy,wz,type,lon,lat
2022-12-08 21:21:52+00:00,-0.5838235294117646,0.0425,-0.2560294117647059,4.676595686941165,0.01,-0.02,-0.07,ankle,-123.17910472856883,49.2651110612536
2022-12-08 21:21:53+00:00,0.219,-0.4655714285714285,0.2254285714285714,4.740578188874535,0.01,-0.05,-0.06,ankle,-123.17908251148245,49.26510841023003
2022-12-08 21:21:54+00:00,0.4804838709677419,0.8153225806451613,-0.2532258064516129,4.799696886293661,0.01,-0.08,-0.06,ankle,-123.17906068729364,49.26510637692278
2022-12-08 21:21:55+00:00,-0.9541176470588236,-0.895,-0.0173529411764705,4.841748324070216,0.01,-0.07,-0.05,ankle,-123.17903768229186,49.2651063440561
2022-12-08 21:21:56+00:00,0.7591428571428571,0.9032857142857144,0.2328571428571428,4.861224556566913,0.02,-0.05,-0.05,ankle,-123.17901849808486,49.265106468272556
2022-12-08 21:21:57+00:00,-0.7930645161290323,-0.5746774193548387,-0.5737096774193549,4.86089449464467,0.01,-0.03,-0.04,ankle,-123.1789960150498,49.265107458511686
2022-12-08 21:21:58+00:00,0.4878260869565217,-0.2978260869565217,0.4204347826086956,4.850396564342428,0.0,-0.02,-0.02,ankle,-123.17898064163504,49.26510919825581
2022-12-08 21:21:59+00:00,-0.5726470588235294,0.2227941176470588,-0.153235294117647,4.842587055027418,-0.01,-0.03,0.0,ankle,-123.17896550826994,49.26511020179567
2022-12-08 21:22:00+00:00,-0.1773437499999999,-0.6164062499999999,0.1940624999999999,4.848897411570902,-0.02,-0.04,0.03,ankle,-123.17894985474643,49.265111490005076
2022-12-08 21:22:01+00:00,0.5829411764705883,0.9708823529411764,0.1585294117647058,4.874591247858025,-0.02,-0.06,0.06,ankle,-123.17892922517046,49.265112370073496
2022-12-08 21:22:02+00:00,-1.3783823529411765,-0.5880882352941177,0.3263235294117647,4.9172561019494925,-0.01,-0.06,0.08,ankle,-123.17891042055142,49.26511194201529
