time,latitude,longitude,ax,ay,az,atotal,wx,wy,wz,type
2022-12-08 21:23:46+00:00,49.264331350417976,-123.17819538232776,-0.1310843373493976,-0.08795180722891566,-0.021084337349397606,1.8297590361445784,-0.06,0.16,0.47,ankle
2022-12-08 21:23:47+00:00,49.26432551169344,-123.17823424509464,-0.01655172413793104,0.017816091954022985,-0.03459770114942529,0.6226436781609196,0.01,-1.01,0.4,ankle
2022-12-08 21:23:48+00:00,49.2643245866848,-123.17826424095875,-0.03614457831325301,0.020963855421686748,-0.08216867469879519,0.37734939759036146,-0.6,-1.35,0.75,ankle
2022-12-08 21:23:50+00:00,49.26432323939946,-123.1782972250335,-0.08235294117647059,0.04647058823529413,-0.10611764705882352,0.9021176470588236,-0.29,-1.71,1.09,ankle
2022-12-08 21:23:51+00:00,49.26432323508545,-123.17834286030606,-0.078,0.010210526315789474,-0.0009473684210526353,0.484,1.17,-0.18,0.65,ankle
2022-12-08 21:23:52+00:00,49.26431649085223,-123.17836080263432,-0.049900990099009904,0.0039603960396039604,-0.04594059405940594,0.19732673267326734,1.01,-0.71,0.66,ankle
2022-12-08 21:23:53+00:00,49.264308649971085,-123.1783935475,-0.002346938775510205,-0.006938775510204081,-0.04,0.2286734693877551,0.84,-0.34,0.57,ankle
2022-12-08 21:23:54+00:00,49.264304630924656,-123.1784289425897,-0.030300000000000004,-0.023200000000000002,-0.025,0.2853,0.46,-0.11,0.4,ankle
2022-12-08 21:23:55+00:00,49.26429937569026,-123.17845954454651,-0.0379,0.0033999999999999976,-0.033,0.4374,0.33,0.49,0.24,ankle
2022-12-08 21:23:56+00:00,49.26429667703943,-123.17848480458122,-0.030299999999999997,-0.0418,-0.013100000000000006,0.5021,0.22,0.17,0.24,ankle
2022-12-08 21:23:57+00:00,49.26429313580481,-123.17852124085736,0.006060606060606062,-0.003737373737373738,-0.024242424242424246,0.47505050505050506,0.25,-0.2,0.59,ankle
2022-12-08 21:23:58+00:00,49.26428827683397,-123.17855319967572,-0.004599999999999997,-0.059699999999999996,-0.033,0.5899,0.4,-0.85,1.25,ankle
2022-12-08 21:23:59+00:00,49.2642805368848,-123.17858160316123,-0.0772,-0.0391,-0.0154,0.4133,0.86,-1.18,1.43,ankle
2022-12-08 21:24:00+00:00,49.264273758566254,-123.17860586518364,-0.0599,-0.0739,-0.00039999999999999774,0.2837,0.29,0.52,1.54,ankle
2022-12-08 21:24:02+00:00,49.26427277950066,-123.1786484322436,-0.032525252525252527,-0.057979797979797985,0.01292929292929293,0.38747474747474747,-0.89,0.74,1.53,ankle
2022-12-08 21:24:03+00:00,49.26427566327612,-123.17869178311416,-0.04,-0.027200000000000005,-0.0363,0.4526,0.02,1.71,1.32,ankle
2022-12-08 21:24:04+00:00,49.26427068371999,-123.1787174324239,-0.10183673469387755,-0.047551020408163266,-0.046530612244897955,0.5351020408163265,0.02,1.88,1.34,ankle
