time,wx,wy,wz
2.594583034515381,0.91,-0.3,1.8
2.597135066986084,1.02,-0.22,2.19
2.599200963973999,1.07,-0.08,2.59
2.601689100265503,1.04,0.13,2.93
2.603891134262085,0.92,0.36,3.22
2.6060779094696045,0.76,0.54,3.43
2.608548879623413,0.62,0.65,3.55
2.610841989517212,0.52,0.68,3.59
2.613734006881714,0.48,0.63,3.59
2.615433931350708,0.49,0.51,3.6
2.714421033859253,0.51,0.34,3.61
2.716017007827759,0.55,0.14,3.61
2.7180731296539307,0.59,-0.06,3.57
2.7197859287261963,0.65,-0.23,3.5
2.722172975540161,0.7,-0.38,3.4
2.7245230674743652,0.77,-0.49,3.29
2.727407217025757,0.82,-0.57,3.21
2.730135202407837,0.88,-0.62,3.17
2.7323172092437744,0.94,-0.66,3.16
2.7482120990753174,0.99,-0.64,3.16
2.8317530155181885,1.05,-0.61,3.14
2.8333609104156494,1.11,-0.55,3.08
2.8346800804138184,1.16,-0.47,3.0
2.8374600410461426,1.19,-0.36,2.9
2.8389389514923096,1.2,-0.2,2.81
2.8414320945739746,1.17,-0.02,2.74
2.843592882156372,1.14,0.13,2.69
2.847503900527954,1.09,0.2,2.66
2.849156141281128,1.02,0.23,2.66
2.8635752201080322,0.92,0.25,2.68
2.9479150772094727,0.82,0.25,2.75
2.949995994567871,0.73,0.25,2.84
2.951446056365967,0.66,0.27,2.94
2.9537529945373535,0.59,0.27,3.03
2.956394910812378,0.52,0.32,3.05
2.958449125289917,0.43,0.41,3.0
2.9608981609344482,0.31,0.5,2.87
2.9641811847686768,0.18,0.56,2.69
2.965914011001587,0.1,0.59,2.49
2.9805428981781006,0.06,0.62,2.27
3.0644991397857666,0.07,0.63,2.04
3.0665829181671143,0.1,0.62,1.74
3.0681889057159424,0.14,0.56,1.36
3.0706870555877686,0.23,0.47,0.95
3.0729970932006836,0.36,0.32,0.59
3.0754501819610596,0.56,0.19,0.31
3.0783278942108154,0.78,0.19,0.09
3.080627202987671,0.97,0.19,-0.09
3.0824592113494873,1.11,0.07,-0.27
3.0982282161712646,1.14,-0.18,-0.44
3.1802079677581787,1.08,-0.44,-0.63
3.1823740005493164,0.92,-0.64,-0.87
3.1837880611419678,0.68,-0.7,-1.19
3.186350107192993,0.4,-0.6,-1.56
3.191981077194214,0.11,-0.39,-1.94
3.198004961013794,-0.18,-0.14,-2.28
3.20392107963562,-0.46,0.09,-2.55
3.2088940143585205,-0.7,0.26,-2.74
3.217290163040161,-0.91,0.35,-2.88
3.2211592197418213,-1.07,0.39,-2.97
3.3996479511260986,-1.18,0.34,-3.06
3.401928186416626,-1.25,0.25,-3.15
3.4039151668548584,-1.28,0.13,-3.25
3.4073259830474854,-1.26,-0.01,-3.36
3.4101810455322266,-1.21,-0.15,-3.45
3.413558006286621,-1.13,-0.27,-3.51
3.4168179035186768,-1.03,-0.38,-3.55
3.419358015060425,-0.94,-0.5,-3.58
3.422105073928833,-0.86,-0.62,-3.62
3.424912214279175,-0.79,-0.73,-3.69
3.542248010635376,-0.74,-0.84,-3.76
3.5442121028900146,-0.69,-0.91,-3.83
3.5472681522369385,-0.65,-0.96,-3.86
3.5499861240386963,-0.64,-1.0,-3.85
3.565690040588379,-0.63,-1.06,-3.82
3.5675060749053955,-0.63,-1.08,-3.8
3.5700299739837646,-0.64,-1.05,-3.8
3.572561025619507,-0.68,-0.96,-3.83
3.57566499710083,-0.74,-0.79,-3.87
3.5785539150238037,-0.83,-0.57,-3.9
3.6681711673736572,-0.95,-0.35,-3.89
3.669755220413208,-1.09,-0.14,-3.84
3.6712520122528076,-1.21,0.02,-3.78
3.6738359928131104,-1.28,0.15,-3.72
3.6763699054718018,-1.27,0.27,-3.65
3.6784770488739014,-1.18,0.35,-3.54
3.6811370849609375,-1.04,0.38,-3.36
3.683007001876831,-0.85,0.35,-3.11
3.698209047317505,-0.66,0.33,-2.84
3.699629068374634,-0.45,0.29,-2.58
3.784437894821167,-0.26,0.21,-2.37
3.78688907623291,-0.08,0.1,-2.18
3.788447141647339,0.09,-0.02,-1.99
3.7909140586853027,0.23,-0.19,-1.78
3.793302059173584,0.37,-0.37,-1.52
3.796684980392456,0.46,-0.51,-1.22
