time,latitude,longitude
2022-12-08 21:22:45.1570,49.26507604876072,-123.17800558509713
2022-12-08 21:22:46.1620,49.265072726960106,-123.1779959576484
2022-12-08 21:22:47.1600,49.26507065168354,-123.17797838436242
2022-12-08 21:22:48.1610,49.26506650943563,-123.17795714511155
2022-12-08 21:22:49.1590,49.265061222905686,-123.17794352917407
2022-12-08 21:22:50.1580,49.265050055917236,-123.17794051562437
2022-12-08 21:22:51.1610,49.265036836747285,-123.177938734737
2022-12-08 21:22:52.1630,49.26502168611442,-123.1779408287252
2022-12-08 21:22:53.1570,49.26500768677279,-123.17793510821265
2022-12-08 21:22:54.1560,49.26498972244468,-123.17793327449718
2022-12-08 21:22:55.1580,49.26497677154139,-123.17793029076711
2022-12-08 21:22:56.1580,49.264965876443235,-123.17793275784426
